Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,Sales,1,2,Life Sciences,1,2,Female,3,2,Sales Executive,4,Single,"(1000, 6500]",8,Yes,11,3,1,0,8,0,1,6,4,0,5
49,No,Travel_Frequently,Research & Development,8,1,Life Sciences,2,3,Male,2,2,Research Scientist,2,Married,"(1000, 6500]",1,No,23,4,4,1,10,3,3,10,7,1,7
37,Yes,Travel_Rarely,Research & Development,2,2,Other,4,4,Male,2,1,Laboratory Technician,3,Single,"(1000, 6500]",6,Yes,15,3,2,0,7,3,3,0,0,0,0
33,No,Travel_Frequently,Research & Development,3,4,Life Sciences,5,4,Female,3,1,Research Scientist,3,Married,"(1000, 6500]",1,Yes,11,3,3,0,8,3,3,8,7,3,0
27,No,Travel_Rarely,Research & Development,2,1,Medical,7,1,Male,3,1,Laboratory Technician,2,Married,"(1000, 6500]",9,No,12,3,4,1,6,3,3,2,2,2,2
32,No,Travel_Frequently,Research & Development,2,2,Life Sciences,8,4,Male,3,1,Laboratory Technician,4,Single,"(1000, 6500]",0,No,13,3,3,0,8,2,2,7,7,3,6
59,No,Travel_Rarely,Research & Development,3,3,Medical,10,3,Female,4,1,Laboratory Technician,1,Married,"(1000, 6500]",4,Yes,20,4,1,3,12,3,2,1,0,0,0
30,No,Travel_Rarely,Research & Development,24,1,Life Sciences,11,4,Male,3,1,Laboratory Technician,3,Divorced,"(1000, 6500]",1,No,22,4,2,1,1,2,3,1,0,0,0
38,No,Travel_Frequently,Research & Development,23,3,Life Sciences,12,4,Male,2,3,Manufacturing Director,3,Single,"(6500, 19999]",0,No,21,4,2,0,10,2,3,9,7,1,8
36,No,Travel_Rarely,Research & Development,27,3,Medical,13,3,Male,3,2,Healthcare Representative,3,Married,"(1000, 6500]",6,No,13,3,2,2,17,3,2,7,7,7,7
35,No,Travel_Rarely,Research & Development,16,3,Medical,14,1,Male,4,1,Laboratory Technician,2,Married,"(1000, 6500]",0,No,13,3,3,1,6,5,3,5,4,0,3
29,No,Travel_Rarely,Research & Development,15,2,Life Sciences,15,4,Female,2,2,Laboratory Technician,3,Single,"(1000, 6500]",0,Yes,12,3,4,0,10,3,3,9,5,0,8
31,No,Travel_Rarely,Research & Development,26,1,Life Sciences,16,1,Male,3,1,Research Scientist,3,Divorced,"(1000, 6500]",1,No,17,3,4,1,5,1,2,5,2,4,3
34,No,Travel_Rarely,Research & Development,19,2,Medical,18,2,Male,3,1,Laboratory Technician,4,Divorced,"(1000, 6500]",0,No,11,3,3,1,3,2,3,2,2,1,2
28,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,19,3,Male,2,1,Laboratory Technician,3,Single,"(1000, 6500]",5,Yes,14,3,2,0,6,4,3,4,2,0,3
29,No,Travel_Rarely,Research & Development,21,4,Life Sciences,20,2,Female,4,3,Manufacturing Director,1,Divorced,"(6500, 19999]",1,No,11,3,3,1,10,1,3,10,9,8,8
32,No,Travel_Rarely,Research & Development,5,2,Life Sciences,21,1,Male,4,1,Research Scientist,2,Divorced,"(1000, 6500]",0,Yes,12,3,4,2,7,5,2,6,2,0,5
22,No,Non-Travel,Research & Development,16,2,Medical,22,4,Male,4,1,Laboratory Technician,4,Divorced,"(1000, 6500]",1,Yes,13,3,2,2,1,2,2,1,0,0,0
53,No,Travel_Rarely,Sales,2,4,Life Sciences,23,1,Female,2,4,Manager,4,Married,"(6500, 19999]",2,No,16,3,3,0,31,3,3,25,8,3,7
38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,24,4,Male,3,1,Research Scientist,4,Single,"(1000, 6500]",5,Yes,11,3,3,0,6,3,3,3,2,1,2
24,No,Non-Travel,Research & Development,11,2,Other,26,1,Female,4,2,Manufacturing Director,3,Divorced,"(1000, 6500]",0,No,18,3,4,1,5,5,2,4,2,1,3
36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,27,3,Male,2,1,Sales Representative,1,Single,"(1000, 6500]",7,No,23,4,2,0,10,4,3,5,3,0,3
34,No,Travel_Rarely,Research & Development,7,4,Life Sciences,28,1,Female,3,3,Research Director,2,Single,"(6500, 19999]",0,No,11,3,3,0,13,4,3,12,6,2,11
21,No,Travel_Rarely,Research & Development,15,2,Life Sciences,30,3,Male,3,1,Research Scientist,4,Single,"(1000, 6500]",1,No,14,3,4,0,0,6,3,0,0,0,0
34,Yes,Travel_Rarely,Research & Development,6,1,Medical,31,2,Male,3,1,Research Scientist,1,Single,"(1000, 6500]",2,No,11,3,3,0,8,2,3,4,2,1,3
53,No,Travel_Rarely,Research & Development,5,3,Other,32,3,Female,3,5,Manager,3,Divorced,"(6500, 19999]",4,No,11,3,4,1,26,3,2,14,13,4,8
32,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,33,2,Female,1,1,Research Scientist,1,Single,"(1000, 6500]",1,Yes,22,4,2,0,10,5,3,10,2,6,7
42,No,Travel_Rarely,Sales,8,4,Marketing,35,3,Male,3,2,Sales Executive,2,Married,"(6500, 19999]",0,No,11,3,4,1,10,2,3,9,7,4,2
44,No,Travel_Rarely,Research & Development,7,4,Medical,36,1,Female,2,3,Healthcare Representative,4,Married,"(6500, 19999]",3,No,14,3,4,1,24,4,3,22,6,5,17
46,No,Travel_Rarely,Sales,2,4,Marketing,38,2,Female,3,5,Manager,1,Single,"(6500, 19999]",3,No,12,3,4,0,22,2,2,2,2,2,1
33,No,Travel_Rarely,Research & Development,2,3,Medical,39,3,Male,3,1,Laboratory Technician,4,Single,"(1000, 6500]",4,No,11,3,4,0,7,3,3,1,1,0,0
44,No,Travel_Rarely,Research & Development,10,4,Other,40,4,Male,3,2,Healthcare Representative,4,Married,"(1000, 6500]",2,Yes,13,3,4,0,9,5,4,4,2,1,3
30,No,Travel_Rarely,Research & Development,9,2,Medical,41,4,Male,2,1,Laboratory Technician,3,Single,"(1000, 6500]",1,No,13,3,1,0,10,5,3,10,0,1,8
39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,42,4,Male,3,2,Sales Representative,4,Married,"(1000, 6500]",3,No,14,3,3,1,19,6,4,1,0,0,0
24,Yes,Travel_Rarely,Research & Development,1,3,Medical,45,2,Male,3,1,Research Scientist,4,Married,"(1000, 6500]",2,Yes,16,3,1,1,6,2,2,2,0,2,0
43,No,Travel_Rarely,Research & Development,2,2,Medical,46,4,Female,4,1,Research Scientist,3,Divorced,"(1000, 6500]",1,No,12,3,4,2,6,3,2,5,3,1,4
50,Yes,Travel_Rarely,Sales,3,2,Marketing,47,1,Male,2,1,Sales Representative,3,Married,"(1000, 6500]",1,Yes,14,3,3,0,3,2,3,3,2,0,2
35,No,Travel_Rarely,Sales,2,3,Marketing,49,4,Female,3,1,Sales Representative,4,Married,"(1000, 6500]",1,No,13,3,1,0,2,3,3,2,2,2,2
36,No,Travel_Rarely,Research & Development,5,4,Life Sciences,51,2,Female,2,1,Research Scientist,1,Married,"(1000, 6500]",9,Yes,14,3,4,1,6,3,4,1,1,0,0
33,No,Travel_Frequently,Sales,1,3,Life Sciences,52,3,Female,4,2,Sales Executive,1,Married,"(1000, 6500]",2,No,19,3,1,2,10,3,3,5,3,1,3
35,No,Travel_Rarely,Research & Development,4,2,Other,53,3,Male,3,1,Laboratory Technician,4,Divorced,"(1000, 6500]",1,No,12,3,3,1,1,3,3,1,0,0,0
27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,54,4,Female,3,1,Laboratory Technician,1,Divorced,"(1000, 6500]",1,No,13,3,4,1,1,6,3,1,0,0,0
26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,55,1,Male,1,1,Laboratory Technician,3,Single,"(1000, 6500]",1,No,12,3,3,0,1,2,2,1,0,0,1
27,No,Travel_Frequently,Sales,8,3,Life Sciences,56,4,Male,3,3,Sales Executive,3,Single,"(6500, 19999]",1,No,15,3,4,0,9,0,3,9,8,1,7
30,No,Travel_Frequently,Research & Development,1,2,Medical,57,3,Female,3,2,Laboratory Technician,4,Single,"(1000, 6500]",1,No,23,4,4,0,12,2,3,12,8,3,7
41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,58,2,Female,3,5,Research Director,3,Married,"(6500, 19999]",1,No,12,3,4,0,23,0,3,22,15,15,8
34,No,Non-Travel,Sales,23,4,Marketing,60,2,Male,3,2,Sales Executive,3,Single,"(1000, 6500]",0,No,20,4,3,0,10,2,3,9,5,8,7
37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,61,2,Male,3,1,Research Scientist,2,Married,"(1000, 6500]",4,No,21,4,1,0,8,1,3,1,0,0,0
46,No,Travel_Frequently,Sales,5,4,Marketing,62,1,Male,3,2,Sales Executive,4,Single,"(1000, 6500]",4,Yes,21,4,3,0,14,4,3,9,6,0,8
35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,63,4,Male,4,1,Laboratory Technician,4,Married,"(1000, 6500]",1,No,19,3,4,0,1,2,3,1,0,0,1
48,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,64,1,Male,2,3,Laboratory Technician,3,Single,"(1000, 6500]",9,Yes,13,3,4,0,23,2,3,1,0,0,0
28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,65,3,Male,3,1,Laboratory Technician,3,Single,"(1000, 6500]",1,Yes,13,3,3,0,2,3,2,2,2,2,2
44,No,Travel_Rarely,Sales,1,5,Marketing,68,2,Female,3,2,Sales Executive,1,Divorced,"(1000, 6500]",5,Yes,21,4,3,1,9,2,2,4,3,1,3
35,No,Non-Travel,Research & Development,11,2,Medical,70,3,Male,2,3,Healthcare Representative,1,Married,"(6500, 19999]",2,Yes,13,3,3,1,10,3,3,4,0,2,3
26,No,Travel_Rarely,Sales,23,3,Marketing,72,3,Female,2,2,Sales Executive,4,Married,"(1000, 6500]",7,Yes,19,3,3,1,5,2,2,2,2,0,0
33,No,Travel_Frequently,Research & Development,1,2,Life Sciences,73,1,Female,3,3,Research Director,4,Single,"(6500, 19999]",1,Yes,12,3,3,0,15,1,3,15,14,8,12
35,No,Travel_Frequently,Sales,18,5,Life Sciences,74,2,Male,3,3,Sales Executive,1,Married,"(6500, 19999]",1,No,22,4,4,1,9,3,2,9,8,1,8
35,No,Travel_Rarely,Research & Development,23,4,Medical,75,3,Female,3,1,Laboratory Technician,1,Married,"(1000, 6500]",3,Yes,15,3,3,1,4,3,3,2,2,2,2
31,No,Travel_Rarely,Research & Development,7,4,Life Sciences,76,4,Male,3,2,Laboratory Technician,4,Divorced,"(1000, 6500]",3,No,22,4,4,1,10,3,2,7,7,1,7
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,77,1,Male,2,2,Manufacturing Director,3,Divorced,"(1000, 6500]",1,No,18,3,3,1,7,2,4,7,5,0,7
32,No,Travel_Rarely,Research & Development,1,3,Medical,78,1,Male,3,2,Manufacturing Director,4,Married,"(1000, 6500]",1,Yes,22,4,2,1,9,3,3,9,8,7,8
38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,79,4,Female,3,2,Laboratory Technician,4,Single,"(1000, 6500]",1,No,11,3,4,0,10,2,3,10,3,9,9
50,No,Travel_Rarely,Research & Development,7,2,Medical,80,2,Female,2,5,Research Director,3,Divorced,"(6500, 19999]",5,Yes,12,3,4,1,29,2,2,27,3,13,8
59,No,Travel_Rarely,Sales,25,3,Life Sciences,81,1,Female,3,3,Sales Executive,1,Single,"(6500, 19999]",7,No,11,3,4,0,28,3,2,21,16,7,9
36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,83,3,Female,3,3,Healthcare Representative,3,Divorced,"(6500, 19999]",1,No,13,3,2,3,17,2,3,17,14,12,8
55,No,Travel_Rarely,Research & Development,8,3,Medical,84,4,Female,3,4,Manager,3,Divorced,"(6500, 19999]",2,Yes,14,3,3,3,21,2,3,5,0,0,2
36,No,Travel_Frequently,Research & Development,11,3,Life Sciences,85,2,Male,2,2,Manufacturing Director,2,Single,"(1000, 6500]",1,No,13,3,3,0,6,3,3,6,5,0,3
45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,86,2,Male,3,3,Research Scientist,1,Divorced,"(6500, 19999]",2,No,17,3,3,1,25,2,3,1,0,0,0
35,No,Travel_Frequently,Research & Development,1,3,Medical,88,2,Male,3,1,Research Scientist,1,Married,"(1000, 6500]",4,No,13,3,4,1,5,2,2,3,2,1,2
36,Yes,Travel_Rarely,Research & Development,9,3,Medical,90,4,Male,2,1,Research Scientist,3,Married,"(1000, 6500]",0,Yes,17,3,1,1,2,0,2,1,0,0,0
59,No,Travel_Frequently,Sales,1,1,Life Sciences,91,1,Female,2,2,Sales Executive,3,Single,"(1000, 6500]",7,No,11,3,4,0,20,2,2,4,3,1,3
29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,94,3,Male,3,1,Research Scientist,2,Married,"(1000, 6500]",0,No,23,4,4,1,6,3,3,5,4,0,4
31,No,Travel_Rarely,Research & Development,1,4,Medical,95,3,Male,3,1,Research Scientist,2,Single,"(1000, 6500]",1,No,17,3,2,0,1,4,3,1,1,1,0
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,96,2,Male,3,2,Research Scientist,2,Married,"(1000, 6500]",1,No,17,3,2,2,10,3,3,10,4,0,9
36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,97,2,Female,4,1,Laboratory Technician,4,Married,"(1000, 6500]",3,No,12,3,2,0,5,3,3,1,0,0,0
31,No,Travel_Rarely,Research & Development,8,4,Life Sciences,98,3,Female,3,2,Manufacturing Director,4,Single,"(1000, 6500]",1,No,23,4,4,0,11,2,3,11,7,1,8
35,No,Travel_Rarely,Sales,1,4,Marketing,100,3,Male,2,2,Sales Executive,1,Single,"(1000, 6500]",0,No,14,3,2,0,16,2,3,15,13,2,8
45,No,Travel_Rarely,Research & Development,6,4,Other,101,4,Male,3,3,Research Director,1,Married,"(6500, 19999]",4,Yes,14,3,2,0,17,3,4,0,0,0,0
37,No,Travel_Rarely,Research & Development,7,4,Medical,102,1,Male,3,3,Research Director,3,Single,"(6500, 19999]",4,No,13,3,1,0,16,3,4,5,2,0,2
46,No,Travel_Rarely,Human Resources,5,2,Medical,103,2,Male,3,2,Human Resources,2,Divorced,"(1000, 6500]",8,Yes,22,4,4,1,16,2,3,4,2,0,2
30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,104,4,Male,2,2,Laboratory Technician,4,Married,"(1000, 6500]",1,Yes,12,3,3,2,10,1,2,10,8,3,0
35,No,Travel_Rarely,Research & Development,1,3,Medical,105,2,Male,2,1,Research Scientist,3,Single,"(1000, 6500]",1,No,18,3,1,0,6,3,3,6,4,0,4
55,No,Travel_Rarely,Sales,1,2,Life Sciences,106,1,Male,3,3,Sales Executive,4,Married,"(6500, 19999]",3,No,14,3,4,1,24,4,3,1,0,1,0
38,No,Non-Travel,Research & Development,6,3,Medical,107,2,Female,1,2,Research Scientist,4,Divorced,"(1000, 6500]",7,Yes,12,3,4,3,17,3,3,13,11,1,9
34,No,Travel_Rarely,Research & Development,1,2,Medical,110,1,Male,3,2,Manufacturing Director,2,Married,"(1000, 6500]",1,No,15,3,3,0,5,2,3,5,2,1,3
56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,112,4,Male,1,3,Manufacturing Director,4,Single,"(6500, 19999]",4,No,11,3,1,0,37,3,2,6,4,0,2
23,No,Travel_Rarely,Sales,2,1,Technical Degree,113,3,Male,3,1,Sales Representative,1,Divorced,"(1000, 6500]",3,No,13,3,3,1,3,3,3,0,0,0,0
51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,116,4,Male,3,1,Laboratory Technician,4,Married,"(1000, 6500]",3,No,23,4,2,2,10,4,3,4,2,0,3
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,117,3,Male,2,2,Healthcare Representative,4,Married,"(1000, 6500]",1,No,19,3,1,3,11,3,3,11,10,10,8
46,Yes,Travel_Rarely,Sales,9,2,Medical,118,3,Male,2,3,Sales Executive,4,Single,"(6500, 19999]",1,No,16,3,4,0,9,3,3,9,8,4,7
40,No,Travel_Frequently,Research & Development,1,4,Life Sciences,119,3,Male,2,4,Healthcare Representative,2,Married,"(6500, 19999]",1,No,22,4,4,1,22,3,2,22,3,11,11
51,No,Travel_Rarely,Sales,21,4,Marketing,120,3,Male,3,2,Sales Executive,4,Single,"(1000, 6500]",0,Yes,22,4,4,0,11,2,1,10,7,1,0
30,No,Travel_Rarely,Sales,4,2,Medical,121,3,Female,2,2,Sales Executive,2,Divorced,"(1000, 6500]",1,Yes,12,3,2,3,11,4,2,11,8,2,7
46,No,Travel_Frequently,Research & Development,1,3,Medical,124,3,Male,2,3,Healthcare Representative,1,Married,"(6500, 19999]",2,Yes,13,3,3,1,21,5,2,10,9,9,5
32,No,Travel_Rarely,Sales,6,4,Medical,125,2,Male,3,2,Sales Executive,3,Single,"(1000, 6500]",1,No,16,3,1,0,12,0,3,11,8,5,7
54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,126,1,Female,3,3,Research Director,3,Married,"(6500, 19999]",9,No,12,3,1,1,16,5,1,4,3,0,3
24,No,Travel_Rarely,Sales,3,2,Other,128,1,Female,3,2,Sales Executive,3,Married,"(1000, 6500]",0,No,21,4,1,1,4,2,2,3,2,0,2
28,No,Non-Travel,Sales,4,3,Medical,129,2,Male,3,2,Sales Executive,3,Married,"(1000, 6500]",1,No,15,3,2,0,5,3,4,5,4,0,4
58,No,Travel_Rarely,Sales,10,4,Medical,131,4,Male,3,4,Sales Executive,3,Single,"(6500, 19999]",0,No,13,3,3,0,38,1,2,37,10,1,8
44,No,Non-Travel,Research & Development,23,3,Medical,132,2,Male,3,2,Laboratory Technician,2,Married,"(1000, 6500]",4,No,12,3,3,1,17,3,4,3,2,1,2
37,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,133,3,Male,3,1,Human Resources,1,Divorced,"(1000, 6500]",4,Yes,22,4,4,0,7,3,3,3,2,0,2
32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,134,4,Male,3,1,Research Scientist,1,Single,"(1000, 6500]",1,No,13,3,4,0,1,2,3,1,0,0,0
20,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,137,4,Female,2,1,Laboratory Technician,4,Single,"(1000, 6500]",1,Yes,18,3,2,0,1,5,3,1,0,1,0
34,No,Travel_Rarely,Research & Development,6,4,Other,138,1,Female,3,2,Research Scientist,3,Single,"(1000, 6500]",1,No,14,3,3,0,16,3,3,16,13,2,10
37,No,Non-Travel,Research & Development,2,2,Life Sciences,139,3,Male,2,2,Healthcare Representative,4,Divorced,"(1000, 6500]",5,No,14,3,4,1,17,2,4,1,0,0,0
59,No,Non-Travel,Human Resources,2,4,Human Resources,140,3,Female,2,5,Manager,4,Married,"(6500, 19999]",9,No,21,4,4,1,30,3,3,3,2,2,2
50,No,Travel_Frequently,Research & Development,1,3,Life Sciences,141,1,Female,3,5,Research Director,2,Married,"(6500, 19999]",3,Yes,19,3,1,0,28,1,2,8,3,0,7
25,Yes,Travel_Rarely,Sales,5,3,Marketing,142,3,Male,2,2,Sales Executive,3,Single,"(1000, 6500]",1,Yes,11,3,4,0,6,1,3,6,4,0,3
25,No,Travel_Rarely,Research & Development,7,1,Medical,143,4,Male,2,1,Research Scientist,4,Married,"(1000, 6500]",1,No,11,3,3,2,2,2,3,2,2,2,1
22,No,Travel_Rarely,Research & Development,15,3,Medical,144,2,Female,3,1,Laboratory Technician,4,Single,"(1000, 6500]",1,No,15,3,3,0,1,5,3,0,0,0,0
51,No,Travel_Frequently,Research & Development,1,4,Medical,145,1,Female,2,3,Healthcare Representative,1,Single,"(6500, 19999]",3,No,20,4,3,0,23,1,2,13,12,12,8
34,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,147,1,Male,1,2,Laboratory Technician,3,Single,"(1000, 6500]",1,Yes,24,4,4,0,9,3,3,9,7,0,6
54,No,Non-Travel,Human Resources,26,3,Human Resources,148,4,Female,4,4,Manager,4,Single,"(6500, 19999]",2,Yes,12,3,3,0,23,3,3,5,3,4,4
24,No,Travel_Rarely,Research & Development,18,1,Life Sciences,150,2,Male,3,1,Laboratory Technician,3,Married,"(1000, 6500]",0,No,12,3,3,1,6,2,3,5,3,1,2
34,No,Travel_Rarely,Research & Development,6,4,Life Sciences,151,3,Female,2,2,Research Scientist,2,Divorced,"(1000, 6500]",6,No,15,3,3,1,12,3,3,1,0,0,0
